                            AGE19               PIB16            Hispanic              White               Black              AIndian
                            CC1Y                HT97                  HHNW97               BMEA97               BFEA97          RPHEALTH97
nbr.val      8526.00000000000000 8526.00000000000000        8526.00000000000   8526.0000000000000   8526.0000000000000  8526.0000000000000
nbr.null     6125.00000000000000 8094.00000000000000           4.00000000000      0.0000000000000      0.0000000000000     0.0000000000000
nbr.na          0.00000000000000    0.00000000000000           0.00000000000      0.0000000000000      0.0000000000000     0.0000000000000
min             0.00000000000000    0.00000000000000     -935251.00000000000      1.0000000000000      1.0000000000000     1.0000000000000
max             1.00000000000000    1.00000000000000      600000.00000000000     20.0000000000000     20.0000000000000     5.0000000000000
range           1.00000000000000    1.00000000000000     1535251.00000000000     19.0000000000000     19.0000000000000     4.0000000000000
sum          2401.00000000000000  432.00000000000000   783170117.00000000000 105833.0000000000000 105207.0000000000000 31267.0000000000000
median          0.00000000000000    0.00000000000000       36070.00000000000     12.0000000000000     12.0000000000000     4.0000000000000
mean            0.28160919540230    0.05066854327938       91856.68742669481     12.4129720853859     12.3395496129486     3.6672531081398
SE.mean         0.00487143154867    0.00237536827214        1518.97821809356      0.0317159133249      0.0350094171985     0.0119497229555
CI.mean.0.95    0.00954918616215    0.00465629735484        2977.56534930266      0.0621708747452      0.0686269403391     0.0234243523589
var             0.20232918731250    0.04810688437575 19671995695.36586380005      8.5762962213908     10.4499711285060     1.2174776619112
std.dev         0.44981016808483    0.21933281645881      140256.89179275956      2.9285314103473      3.2326415094325     1.1033937021350
coef.var        1.59728508666858    4.32877683594404           1.52690996945      0.2359250782329      0.2619740274832     0.3008774332172
                         SSAS97             THAS97             PFAS97               LFS97              ABFS97              RTGAS97
nbr.val      8526.0000000000000 8526.0000000000000 8526.0000000000000  8526.0000000000000  8526.0000000000000  8526.00000000000000
nbr.null     6424.0000000000000 6733.0000000000000 7029.0000000000000  5173.0000000000000  1654.0000000000000     0.00000000000000
nbr.na          0.0000000000000    0.0000000000000    0.0000000000000     0.0000000000000     0.0000000000000     0.00000000000000
min             0.0000000000000    0.0000000000000    0.0000000000000     0.0000000000000     0.0000000000000     1.00000000000000
max            30.0000000000000   99.0000000000000   50.0000000000000    99.0000000000000   200.0000000000000     4.00000000000000
range          30.0000000000000   99.0000000000000   50.0000000000000    99.0000000000000   200.0000000000000     3.00000000000000
sum          4033.0000000000000 8420.0000000000000 3472.0000000000000 20516.0000000000000 41970.0000000000000 25712.00000000000000
median          0.0000000000000    0.0000000000000    0.0000000000000     0.0000000000000     3.0000000000000     3.00000000000000
mean            0.4730236922355    0.9875674407694    0.4072249589491     2.4062866525921     4.9225897255454     3.01571663148018
SE.mean         0.0144064525182    0.0573477062168    0.0195260761124     0.0756666266849     0.0857235073633     0.00675022663586
CI.mean.0.95    0.0282401375566    0.1124153992856    0.0382758402639     0.1483249219980     0.1680388448664     0.01323207975695
var             1.7695361230750   28.0399627153926    3.2506879697981    48.8150877460904    62.6534790872563     0.38849196145239
std.dev         1.3302391225171    5.2952773973979    1.8029664361263     6.9867794974574     7.9153950682993     0.62329123325488
coef.var        2.8122040065908    5.3619400344672    4.4274458048425     2.9035524466427     1.6079737515444     0.20668096821450
                          RDFAS97              PPSM97              PPDR97              PPIG97              PPID97              PPHS97
nbr.val       8526.00000000000000  8526.0000000000000  8526.0000000000000  8526.0000000000000  8526.0000000000000  8526.0000000000000
nbr.null         0.00000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000
nbr.na           0.00000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000
min              1.00000000000000     1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000
max              4.00000000000000     5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000
range            3.00000000000000     4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000
sum          23999.00000000000000 22236.0000000000000 18093.0000000000000 13629.0000000000000 19586.0000000000000 21096.0000000000000
median           3.00000000000000     3.0000000000000     2.0000000000000     1.0000000000000     2.0000000000000     2.0000000000000
mean             2.81480178278208     2.6080225193526     2.1220971147080     1.5985221674877     2.2972085385878     2.4743138634764
SE.mean          0.00847823601004     0.0139112329256     0.0134689884320     0.0106698264771     0.0141858673878     0.0144220007324
CI.mean.0.95     0.01661939681953     0.0272693871656     0.0264024808042     0.0209154451479     0.0278077372543     0.0282706158238
var              0.61285302228890     1.6499719952699     1.5467327746145     0.9706441500657     1.7157622948057     1.7733577403051
std.dev          0.78284929730370     1.2845123569939     1.2436771183127     0.9852127435563     1.3098710985458     1.3316747877410
coef.var         0.27811880115052     0.4925234914431     0.5860604162236     0.6163272324867     0.5702012144492     0.5381996226906
                            JIJF            NMI_B18            NMI_A18             NA_B18             NA_A18           B18_INCAF
nbr.val      8526.00000000000000 8526.0000000000000  8526.000000000000 8526.0000000000000 8526.0000000000000 8526.00000000000000
nbr.null     8342.00000000000000 8420.0000000000000  7631.000000000000 6974.0000000000000 6150.0000000000000 8420.00000000000000
nbr.na          0.00000000000000    0.0000000000000     0.000000000000    0.0000000000000    0.0000000000000    0.00000000000000
min             0.00000000000000    0.0000000000000     0.000000000000    0.0000000000000    0.0000000000000    0.00000000000000
max             1.00000000000000   42.0000000000000   195.000000000000   17.0000000000000   68.0000000000000    1.00000000000000
range           1.00000000000000   42.0000000000000   195.000000000000   17.0000000000000   68.0000000000000    1.00000000000000
sum           184.00000000000000  687.0000000000000 25649.000000000000 3305.0000000000000 7594.0000000000000  106.00000000000000
median          0.00000000000000    0.0000000000000     0.000000000000    0.0000000000000    0.0000000000000    0.00000000000000
mean            0.02158104621159    0.0805770584096     3.008327468919    0.3876378137462    0.8906873094065    0.01243255923059
SE.mean         0.00157380703434    0.0124242354195     0.165634923304    0.0130350021431    0.0304204349727    0.00120009729330
CI.mean.0.95    0.00308504311394    0.0243545117606     0.324684582299    0.0255517625251    0.0596314232861    0.00235248147324
var             0.02111778152458    1.3160872212167   233.910194574746    1.4486635807119    7.8899848178729    0.01227943093508
std.dev         0.14531958410546    1.1472084471519    15.294122876934    1.2036044120524    2.8089116785461    0.11081259375667
coef.var        6.73366725045173   14.2374078899815     5.083928872421    3.1049716239511    3.1536451107828    8.91309598461642
                      B18_ARREST        B18_NOARREST    Years_Till_Victim         VVictim_A18
nbr.val      8526.00000000000000 8526.00000000000000   8526.0000000000000 8526.00000000000000
nbr.null     7080.00000000000000 1552.00000000000000      0.0000000000000 7498.00000000000000
